epoch,loss,entropy_loss,align_loss,pseudo_ce_loss,lr,selected_ratio,selected_pos_ratio,ema_pos_prior
1,0.5701375737409721,0.12337268278536007,0.1495891373497697,0.9905858042706711,0.00034086580994024983,0.5676836371421814,0.3865703046321869,0.017549889162182808
2,0.30415638961438773,0.0947628066049866,0.07337306187888278,0.45340171895311193,0.000264842339361953,0.8176836371421814,0.1711435467004776,0.020713862031698227
3,0.20950015630191407,0.0728860923191444,0.05461243022209589,0.2733387682625055,0.0002193456688254154,0.8875721096992493,0.1272781491279602,0.022956058382987976
4,0.16960647497629416,0.061893556932975595,0.05049475218526367,0.19072721167050524,0.00018869762389512346,0.941204845905304,0.11071129143238068,0.024820545688271523
5,0.1351553407425675,0.05381660952625778,0.04495686207310132,0.12127289265474611,0.00016647668953512012,0.9536709189414978,0.09504754841327667,0.026338182389736176
6,0.1136810448080089,0.048364304562745014,0.04270069102311612,0.07538682764309668,0.00014953487812212205,0.9688560366630554,0.0848815068602562,0.027619516476988792
7,0.10780061350243224,0.04641835422544478,0.04287195998665184,0.061700995272803254,0.00013613639762823993,0.9773098230361938,0.08497703075408936,0.02887713722884655
8,0.10827786806816668,0.04581711010936663,0.04428403819566438,0.06058906341312621,0.0001252407744978563,0.984009325504303,0.0885298028588295,0.030178522691130638
9,0.10474410947295995,0.04512938396408749,0.043277299103012444,0.05445808569751895,0.00011618404012127041,0.9824775457382202,0.0887487456202507,0.03145654499530792
10,0.09511065522203756,0.04326069113334674,0.04035106252383033,0.038329670475347265,0.00010852132017398014,0.9861134886741638,0.08451937884092331,0.03262421488761902
11,0.09627387804715935,0.042951918800400626,0.04194316688804368,0.03792930653142955,0.00010194265469082737,0.9900674223899841,0.08867332339286804,0.03385065868496895
12,0.09226686891049571,0.04255018727992898,0.039559406075876914,0.0338575840086769,9.622504486493763e-05,0.9901098608970642,0.0880967453122139,0.03504062071442604
13,0.08806466071309176,0.041802901435350266,0.03800320532784513,0.027528512059371943,9.120369781116973e-05,0.9901840090751648,0.08731934428215027,0.03619181737303734
14,0.08630200225816916,0.04135224798989951,0.0378508406453284,0.023663044449468262,8.67540333382994e-05,0.9917476177215576,0.08809555321931839,0.03733488544821739
15,0.0844453843323112,0.04097502400310081,0.037325468483627326,0.020482971892179416,8.278001303808509e-05,0.9929507374763489,0.08855462074279785,0.03846418485045433
